session_id,start_date,end_date,first_prod,last_prod,prod_count,most_common_cat,count_num_unique_cat,time_diff,time_per_prod,time_first_prod,item_purch,purch_date,0,1,2,3,most_seen_cluster,first_item_cluster,last_item_cluster
3,2020-12-18 21:19:48.093,2020-12-18 21:25:00.373,9655,9655,2,2,18,312,156,noche,15085,2020-12-18 21:26:47.986,0.0,0.0,0.0,2.0,3,3,3
13,2020-03-13 19:35:27.136,2020-03-13 19:35:27.136,15654,15654,1,4,20,0,0,noche,18626,2020-03-13 19:36:15.507,0.0,0.0,1.0,0.0,2,2,2
18,2020-08-26 19:15:47.232,2020-08-26 19:18:30.833,4026,18316,3,1,25,163,54,noche,24911,2020-08-26 19:20:32.049,0.0,3.0,0.0,0.0,1,1,1
19,2020-11-02 16:30:36.378,2020-11-02 16:48:39.343,19896,8268,17,4,28,1082,63,tarde,12534,2020-11-02 17:16:45.920,0.0,17.0,0.0,0.0,1,1,1
24,2020-02-26 17:22:48.903,2020-02-26 18:24:32.770,2927,18476,9,30,43,3703,411,tarde,13226,2020-02-26 18:27:44.114,3.0,0.0,5.0,1.0,2,2,0
28,2020-05-18 12:50:24.248,2020-05-18 12:51:51.761,16895,21902,4,30,20,87,21,tarde,26394,2020-05-18 12:52:09.764,0.0,0.0,4.0,0.0,2,2,2
31,2021-04-20 19:38:03.816,2021-04-20 19:45:23.203,25972,4230,8,3,25,439,54,noche,8345,2021-04-20 19:46:42.594,0.0,8.0,0.0,0.0,1,1,1
36,2020-06-21 10:29:08.263,2020-06-21 10:29:51.337,25417,26536,2,7,24,43,21,día,14532,2020-06-21 10:33:22.535,1.0,1.0,0.0,0.0,0,0,1
42,2021-03-01 15:14:01.173,2021-03-01 15:16:01.521,20523,17472,4,4,39,120,30,tarde,11784,2021-03-01 15:17:04.264,0.0,2.0,2.0,0.0,1,1,1
44,2020-11-27 20:45:10.302,2020-11-27 20:45:43.513,22747,17089,2,4,18,33,16,noche,4028,2020-11-27 20:46:08.951,0.0,0.0,2.0,0.0,2,2,2
48,2020-04-15 17:17:42.594,2020-04-15 17:28:39.697,8398,26404,2,7,24,657,328,tarde,24022,2020-04-15 17:29:15.414,1.0,1.0,0.0,0.0,0,1,0
49,2020-05-01 12:33:50.844,2020-05-01 12:33:50.844,21358,21358,1,2,17,0,0,tarde,2011,2020-05-01 12:34:29.860,0.0,0.0,0.0,1.0,3,3,3
