,Cluster_pred,item_id2
0,2,2
1,1,3
2,1,4
3,0,7
4,1,8
5,1,9
6,2,10
7,0,11
8,2,13
9,0,14
10,1,16
11,3,17
12,0,18
13,2,19
14,1,20
15,2,21
16,3,24
17,2,25
18,1,26
19,3,27
20,2,28
21,0,29
22,0,30
23,1,32
24,1,33
25,2,35
26,1,36
27,0,38
28,1,39
29,3,40
30,3,42
31,0,43
32,2,44
33,0,45
34,2,46
35,0,47
36,0,49
37,1,50
38,1,51
39,0,52
40,1,53
41,2,54
42,1,55
43,2,56
44,0,57
45,0,58
46,0,59
47,0,60
48,3,62
49,2,63
50,1,64
51,0,65
52,1,67
53,1,68
54,1,69
55,1,70
56,2,74
57,3,75
58,0,76
59,1,78
60,3,79
61,1,80
62,1,81
63,3,82
64,2,83
65,1,84
66,0,86
67,0,88
68,0,89
69,0,90
70,0,91
71,0,92
72,2,93
73,1,94
74,1,95
75,1,97
76,0,98
77,3,99
78,0,100
79,0,101
80,1,102
81,3,103
82,1,104
83,2,105
84,2,106
85,1,107
86,1,108
87,1,109
88,2,111
89,2,112
90,3,113
91,1,114
92,3,115
93,1,116
94,2,117
95,2,118
96,2,119
97,0,120
98,1,121
99,3,123
100,1,124
101,2,125
102,1,126
103,2,127
104,1,128
105,0,130
106,2,131
107,2,132
108,2,133
109,1,134
110,2,135
111,0,137
112,2,138
113,0,140
114,1,141
115,1,142
116,3,143
117,1,145
118,2,146
119,3,147
120,1,148
121,1,149
122,1,150
123,3,151
124,3,152
125,1,153
126,0,154
127,2,155
128,0,156
129,0,157
130,1,158
131,1,160
132,0,161
133,1,162
134,3,163
135,2,164
136,0,165
137,0,166
138,1,167
139,1,168
140,1,169
141,0,170
142,0,171
143,2,172
144,0,173
145,3,174
146,3,175
147,1,176
148,2,177
149,0,178
150,1,179
151,1,180
152,2,181
153,0,182
154,1,183
155,1,184
156,3,185
157,2,187
158,1,188
159,2,189
160,1,190
161,0,191
162,2,192
163,1,193
164,1,194
165,1,196
166,0,197
167,1,198
168,1,201
169,1,202
170,1,203
171,0,204
172,1,205
173,0,206
174,2,207
175,1,208
176,0,209
177,1,211
178,3,214
179,0,215
180,2,217
181,2,218
182,1,219
183,0,220
184,2,221
185,2,222
186,1,223
187,0,224
188,1,225
189,3,227
190,2,228
191,0,230
192,3,231
193,0,233
194,0,234
195,1,236
196,2,238
197,3,239
198,0,240
199,1,241
200,2,242
201,1,243
202,0,244
203,3,245
204,1,246
205,1,247
206,2,248
207,3,251
208,1,252
209,0,253
210,1,257
211,1,258
212,2,259
213,0,260
214,3,262
215,1,263
216,1,264
217,3,265
218,1,266
219,2,267
220,2,269
221,1,271
222,1,273
223,0,274
224,0,275
225,1,277
226,1,279
227,3,280
228,1,281
229,1,282
230,2,283
231,1,284
232,3,285
233,1,286
234,1,287
235,1,289
236,0,290
237,1,291
238,2,292
239,1,293
240,1,294
241,2,295
242,1,296
243,0,297
244,1,298
245,2,299
246,1,300
247,2,301
248,1,303
249,1,305
250,2,307
251,1,308
252,1,309
253,2,310
254,2,311
255,1,312
256,2,313
257,1,314
258,0,315
259,0,317
260,1,318
261,0,319
262,1,320
263,0,321
264,1,322
265,2,323
266,2,324
267,0,325
268,1,326
269,1,327
270,2,328
271,1,329
272,3,330
273,1,331
274,2,332
275,2,333
276,2,334
277,0,335
278,0,336
279,1,337
280,1,339
281,2,340
282,0,342
283,1,343
284,1,344
285,3,345
286,3,346
287,0,347
288,0,348
289,2,350
290,1,351
291,0,352
292,1,353
293,2,354
294,2,357
295,2,358
296,1,359
297,1,360
298,1,363
299,3,364
300,2,366
301,2,367
302,0,368
303,0,369
304,1,370
305,1,371
306,0,372
307,1,373
308,0,374
309,2,375
310,2,376
311,2,378
312,1,380
313,0,381
314,0,382
315,2,384
316,1,385
317,0,386
318,2,388
319,3,389
320,0,390
321,2,391
322,1,392
323,3,393
324,2,394
325,1,396
326,2,397
327,3,398
328,1,399
329,1,400
330,2,401
331,1,402
332,2,403
333,1,404
334,1,405
335,3,406
336,2,408
337,2,409
338,0,410
339,1,412
340,3,413
341,0,416
342,1,417
343,2,418
344,2,419
345,0,420
346,2,421
347,0,422
348,3,423
349,1,424
350,2,425
351,2,426
352,1,427
353,1,428
354,0,429
355,0,430
356,0,432
357,0,433
358,2,434
359,0,435
360,3,436
361,0,437
362,1,438
363,0,439
364,1,441
365,1,442
366,2,445
367,0,446
368,1,447
369,0,448
370,1,450
371,0,451
372,1,452
373,1,455
374,0,456
375,1,457
376,1,458
377,1,459
378,1,460
379,2,461
380,2,462
381,2,464
382,1,465
383,2,466
384,0,467
385,2,468
386,1,469
387,2,470
388,0,471
389,1,472
390,3,473
391,2,475
392,2,477
393,3,478
394,1,479
395,0,480
396,2,481
397,2,482
398,0,483
399,1,484
400,2,485
401,3,486
402,2,488
403,2,489
404,0,491
405,1,492
406,2,493
407,2,494
408,1,495
409,3,496
410,0,497
411,1,498
412,2,499
413,0,500
414,1,502
415,2,504
416,3,505
417,1,506
418,1,507
419,1,508
420,2,509
421,1,511
422,0,512
423,0,513
424,1,514
425,3,515
426,1,516
427,1,517
428,0,518
429,1,519
430,2,521
431,0,522
432,1,523
433,1,524
434,3,525
435,0,526
436,1,527
